9356 28222
1967 6621 222
5732 8118 278
4063 5280 410
4366 406 -978
5307 1524 222
2075 1357 623
524 743 -72
7907 4613 -419
279 1264 -672
3479 6746 261
1506 8469 -827
3917 8229 -991
6847 3144 734
5509 8305 -410
2921 1651 -411
600 8450 197
8544 8934 -321
6082 1392 -462
2574 333 908
7556 277 735
7651 4422 801
4507 4060 644
3918 6328 -587
8679 7491 -697
8602 1418 -541
1137 962 206
7681 7787 886
9291 3952 614
2621 8463 89
1294 1601 362
617 5543 587
3468 342 809
6293 9 -934
7676 4043 -669
6294 7808 35
6424 1582 84
1006 2092 -387
7056 8037 -183
5579 5246 148
1439 2729 281
7288 6808 -474
6786 4895 -160
1818 1134 -27
7123 2946 187
6630 7704 -404
6494 5933 165
1567 8168 -259
2073 836 894
5075 3564 42
5615 9221 782
5155 1142 -658
931 6748 526
8143 3076 71
7835 3717 648
5748 353 190
2131 1258 -210
8309 5994 -62
983 4754 -413
5210 7394 -42
722 1646 -564
9013 2892 187
8925 4801 -989
4813 5719 791
3959 6289 133
6411 2035 -947
3162 8061 -999
4211 1666 -332
7720 796 -94
1125 8516 -141
6735 1828 -762
4052 1528 220
4122 178 134
1312 6164 342
3674 1655 -880
2069 3577 682
7230 4227 -258
7336 4508 -18
4949 7360 341
1518 591 142
6375 267 5
5901 5859 -141
6817 6963 748
1396 7912 -757
8979 604 -992
8179 2782 -783
6585 867 -355
7572 7311 915
6163 6968 77
6646 7453 -619
8025 5144 -736
6515 5715 110
8554 5072 808
5795 212 544
425 2571 -802
5720 6809 -668
3356 7553 368
845 552 755
7770 5908 261
1231 2723 -747
1450 4948 -474
7965 4773 851
2925 1093 -149
869 164 82
5679 1061 -180
8104 6000 546
6852 9113 793
6772 5638 574
917 8691 -706
6775 2002 -84
5150 6385 990
6497 4857 -415
7649 9150 -393
2574 3607 -36
331 3018 -210
9069 6155 -206
2336 7165 -261
3518 522 942
277 8923 140
1231 5292 822
722 8440 -268
8132 1920 574
5070 7532 -765
5745 5736 -722
8015 8256 121
6598 5249 515
3993 7074 479
7534 4857 -916
8803 4780 705
8853 3596 884
9131 361 602
3955 1484 -998
7899 6327 572
9145 4417 118
7081 4811 -970
6981 1811 1000
6270 1526 679
6111 6298 -17
3698 7157 168
3753 9181 -908
6598 2196 765
7952 2946 -820
4285 6028 -767
6539 3995 632
3089 3568 17
1426 7474 674
6535 5740 -386
7236 7823 -25
3472 3991 14
4533 2653 -77
9179 3211 -825
811 4894 374
4242 9290 877
3898 1358 380
1169 2193 85
6830 3818 -546
5870 2026 -257
8282 7466 -444
948 8545 -560
1384 4074 -376
1451 6302 112
3569 3117 -75
5349 5893 -396
7230 8930 -873
8985 4811 858
4517 1233 -644
7478 6273 -595
371 84 -936
6633 5337 -769
5680 1477 -487
7619 3295 -536
7547 4202 -920
9336 5826 480
3952 2960 671
740 8056 -545
5800 4079 149
8042 6076 -411
2328 8694 -241
371 6257 -903
4326 5879 -735
8906 3634 -413
9348 4983 -825
9245 8680 245
9040 3085 -973
768 497 742
7094 1819 825
367 326 -865
6942 2120 525
1987 2034 -768
8253 563 526
7039 817 -754
5776 4859 -272
2378 5079 800
8130 131 -215
3246 2850 -884
7446 504 -866
5315 6373 -214
1932 3105 479
4826 204 467
4963 8061 -300
4882 364 -470
864 2576 -898
8522 4539 137
2181 3992 -781
8769 8027 900
1997 8326 -351
6329 5366 234
7794 2932 160
3713 7969 869
1702 2197 -387
9312 1148 715
6310 5839 850
1912 3111 658
2629 535 541
4476 4525 -976
6831 1726 132
8870 7953 534
537 6196 -994
2481 6614 -902
9100 4507 -280
4659 5049 -75
6015 256 458
1626 691 764
878 6722 -110
6742 5853 191
8835 8093 668
846 4295 42
2864 389 409
1562 6789 900
8832 3998 -901
8506 7484 -51
2095 3897 252
2772 2614 719
5069 7989 220
241 3971 -948
2739 9016 824
8523 2930 957
1634 9164 477
2922 3126 428
3831 6642 -129
2965 6196 985
5981 8010 529
4520 7924 505
5136 3607 24
8874 8620 -620
5343 3200 -972
8060 1533 -285
4322 7089 -698
572 2081 49
4023 97 893
1136 2709 -841
7273 4057 -436
7739 8819 415
5208 8566 -226
4906 9051 -132
2873 5093 -5
6541 5451 464
1259 5749 -975
2009 7220 -569
2670 2484 412
3663 7309 -343
9301 6942 811
1713 8114 765
3029 8014 242
3062 6352 -591
6044 8454 -225
5692 515 -921
5787 4190 760
2686 7691 -967
4132 9150 -442
569 1679 -673
2364 5209 836
5342 8209 -520
3266 6214 -22
4579 239 966
5501 670 76
3876 4272 -278
8674 454 663
6955 2667 522
8590 4715 -710
5574 7155 671
7537 5682 38
7387 6967 -639
5717 2471 149
2252 2256 -54
8362 1755 593
170 9239 -61
7902 3991 -201
3161 2522 -283
4002 2760 -783
8403 9331 -202
5442 288 558
737 3297 -991
6662 4897 -59
1902 4823 239
3485 1117 862
8875 7782 -101
9281 9012 -232
3408 6323 -265
9322 6498 308
7845 2746 -430
6418 2404 -436
1414 509 869
8814 3750 -743
8112 1755 957
1934 7252 910
4331 924 996
2077 1959 272
2804 1016 156
1918 7830 459
6374 604 -70
3105 7157 217
3142 8162 -244
8224 4330 -561
4260 4606 -109
948 4553 -860
6540 8615 -251
7964 5162 220
4464 7186 -104
8181 4283 -669
2216 555 -538
524 6687 -861
1891 620 449
8361 8954 -605
5741 1960 527
7977 408 -754
6554 1004 699
7094 604 -228
4801 5023 210
8692 7570 -646
7412 829 603
3887 3242 -428
1520 3035 -428
3970 4674 -497
2860 5164 -803
6833 446 726
3741 4627 588
3893 7403 677
2916 8432 816
7444 1690 37
6915 2454 -572
8062 2946 -998
2854 8507 -901
4128 8597 803
6979 384 -812
9131 6899 -736
7374 1551 294
5514 8698 -284
1475 8490 -57
7324 190 1
8083 8993 -351
25 7105 -251
9158 7691 -475
1408 4054 -708
1209 3138 -853
2065 8602 460
6018 9320 -757
8377 3228 -154
3370 7308 155
205 4736 -541
688 8281 -353
5653 9330 1
864 3525 815
7218 4686 379
1003 2001 -136
806 2043 -59
667 3997 -256
845 2077 864
424 7513 199
5308 3410 -321
8545 3182 -384
5318 8221 78
6326 438 868
971 1794 727
7551 7162 455
4154 3039 606
6050 7505 -669
8515 552 -333
7826 6744 -190
6701 536 -109
6896 6940 -576
3110 5804 -99
62 6307 -669
6116 8048 457
6809 2691 -249
5467 8110 194
8399 9144 159
5884 8122 -958
8158 8065 508
5053 7420 -237
4940 8783 -310
1184 7778 810
1487 8355 -908
9337 993 -567
8021 942 222
5994 8762 966
4182 7768 554
1662 3363 7
1724 2544 117
8158 4411 347
4133 1977 647
4697 7359 -464
1596 3895 -509
3949 3680 110
2562 9307 319
6032 7272 399
1931 1691 54
2568 1225 -140
6124 3368 848
6370 4656 560
3377 476 724
3540 1017 437
2180 6643 625
8594 6310 -231
4118 3216 -27
7596 5013 -259
1538 8803 -440
1025 7655 -354
5076 7515 -549
5819 4146 528
1000 3675 457
3653 2529 904
59 7268 -562
1414 6721 749
9151 5690 386
78 643 305
6179 413 -838
3010 5839 1000
334 3433 -1000
3134 555 407
3705 4143 749
5226 7733 -42
8433 5047 -354
3936 6773 -634
8242 4083 132
9141 2568 683
7738 6668 602
2825 5487 792
8480 6073 -476
6679 6715 638
6165 5984 394
3909 3485 490
4223 2358 -904
6367 225 571
8337 4652 -609
7027 3243 995
5379 1552 -843
7161 6722 927
2133 2853 663
8048 2644 367
8 518 -121
4879 3701 -392
2000 7269 836
2252 1486 311
7730 7127 -989
8294 4119 405
7373 5255 -531
4412 7043 -647
9151 5860 212
2941 5888 -480
2602 7001 587
245 4725 -464
2716 9233 -520
1547 1141 -414
7425 3261 -235
7995 763 -30
664 4744 613
7454 6725 538
3734 8083 -830
1316 4057 -406
2193 6297 101
158 4875 -413
5985 5304 389
5323 2659 458
7216 7655 693
2054 2670 -428
3156 1919 -796
3397 9301 670
1680 9091 -621
7427 704 488
9341 4185 -937
9354 7675 -203
1052 4172 969
5732 4822 12
3918 5820 728
9302 5063 -552
1260 195 -864
1020 6844 925
2355 265 429
2962 8526 868
1093 5300 764
4191 6991 -971
8937 3755 702
3606 6086 476
6300 6144 -530
8162 2496 433
8383 4100 383
5708 8987 -636
5397 3096 218
1683 2132 -565
1812 6578 511
4753 3689 208
8777 2609 183
3685 5309 -631
6896 6220 367
2387 2945 -491
3983 2639 660
3231 5713 776
8826 5533 -618
4128 299 -991
3710 6137 91
7576 2619 788
4593 2776 -441
5892 7598 842
894 5410 -695
3766 4086 -972
4629 6174 44
3651 1904 -277
3921 4953 -286
5123 9317 -837
7658 4068 327
8963 8834 -727
3067 7641 -338
2499 2386 -892
2269 4141 739
5686 6779 169
4043 9155 841
3523 6599 -629
4712 7068 -981
5139 5752 -693
3312 5821 261
3580 6715 495
7082 6706 -448
6514 6502 -472
4757 4029 -131
465 8137 920
5010 3766 -496
5642 1189 -548
4575 1875 -753
5152 680 775
1191 8219 796
9333 8257 585
7711 39 -245
2916 7809 229
7380 8868 -78
3083 7354 693
5752 2756 877
8562 5476 -845
3140 5821 937
9281 8649 -562
3483 7095 -239
7927 4897 197
5667 550 -348
8113 5055 -268
3497 2529 -225
8950 6917 -657
95 3300 -549
7997 1948 -21
5786 4096 885
9312 7860 604
9280 1816 -780
3782 6889 -100
1478 2020 -800
7339 4711 314
3595 2020 372
8063 5499 -992
6594 5696 644
1370 1679 681
7450 6264 5
2214 488 -201
7331 6572 702
8700 1913 -562
2838 7569 754
9185 2125 -756
3317 36 -235
5780 3091 311
2931 7430 -898
9295 3430 937
2689 2595 -886
8184 1123 -592
29 2704 329
4642 6555 469
580 69 -33
4127 2680 -214
2872 8111 158
1315 3962 -535
5898 3151 -919
4879 2550 836
7770 37 424
5467 1268 53
2638 4084 -127
4701 2046 507
4355 8839 -327
3660 2920 -830
1211 7299 -13
7532 7448 978
8057 1637 -179
8438 6194 -923
248 8186 60
8724 8668 -469
4524 2219 151
2837 3535 396
3699 1387 708
5934 8323 249
6004 5653 192
334 704 678
3989 1131 158
5107 8618 -912
3186 5993 114
4944 245 -9
7173 2772 -523
1804 2787 -325
450 840 185
4446 4861 365
2220 3563 -855
6612 3136 -527
7832 2792 -639
6829 3647 -108
6282 8038 -627
8501 3496 -279
8440 7510 32
4537 6084 503
365 3140 439
6108 2188 -290
5110 4225 293
3881 6804 850
4071 9346 903
2432 761 499
8852 8835 23
9256 4131 -877
6916 6651 901
3627 8528 957
7800 6059 -446
4569 3603 -295
3307 5166 658
8045 1487 861
3794 5301 -853
1775 6815 780
3425 7159 -393
5634 6034 45
4676 6916 797
1037 7223 788
3913 8022 14
6847 2827 817
1555 4234 59
5938 1638 -641
5980 8689 -751
1197 949 749
2089 7169 -15
5741 91 134
2073 109 77
1694 336 874
1410 4912 186
6355 3275 -233
2567 2948 162
2364 4982 593
1250 745 921
3037 1220 -356
4875 2726 300
4147 3122 923
5489 1848 355
1110 2334 -354
6946 3536 -385
4286 3767 872
3870 5314 -665
136 9343 -882
5259 8774 -723
7672 1895 -628
6868 5638 -768
7134 8152 -698
5122 2118 -192
100 2368 336
4202 5348 -917
769 7012 18
2268 5520 974
836 6710 738
5418 7909 -93
5211 2671 434
1941 4163 -438
1221 554 -927
1076 7346 385
3748 8204 -706
2848 8457 486
7383 3443 557
2833 1837 399
435 3045 805
948 5563 563
2714 1476 -905
8278 6198 263
7647 4704 585
8644 400 335
8152 7061 -137
4359 1033 -664
9339 6387 694
6638 2262 822
2275 2168 -107
9139 2035 -980
9267 1062 -865
3654 7994 106
313 6648 416
2258 8411 502
3876 1013 -443
2427 3911 112
4931 4314 851
7141 627 484
7846 5666 358
34 7014 714
9063 4466 917
3576 2125 -859
922 5312 82
8650 4672 59
4419 4137 715
3233 2720 -127
1453 1428 -717
7034 638 -663
5531 6851 869
8802 6232 387
3463 2176 -552
7479 2565 -933
9271 7235 81
7186 5210 59
728 5104 -284
4682 3494 190
3118 520 164
2906 1542 -688
1678 8677 -534
1196 1885 -621
5971 1271 261
6931 8958 -714
7522 4106 796
3371 5974 323
4289 628 -947
6674 6277 430
4027 3632 820
7285 815 -49
9046 855 949
6338 2966 -832
5104 8908 959
6740 8877 -823
8974 3975 859
3556 1820 74
7773 1554 -96
7432 4553 897
5571 6059 918
5786 5914 -816
4920 5143 963
24 6313 -138
1196 617 -524
8021 6404 -171
8548 3917 349
5992 3475 542
6199 7087 594
8444 5154 386
3113 6099 -766
6105 4658 -768
6997 5882 -830
1221 542 -931
7485 5496 -55
1660 558 769
6389 2857 835
5237 2880 991
3591 192 -877
8285 5446 -104
7797 1071 -719
2729 4068 511
8266 4399 -386
9192 5111 178
1022 5050 -455
3308 2225 -909
3811 2795 689
203 8008 -695
3614 464 970
1565 7775 -138
7500 5174 205
7579 856 89
9326 5479 -77
180 3490 73
8819 2143 18
4144 7869 -643
3301 6852 -655
366 401 -952
9112 5250 16
1630 2879 204
8647 446 117
318 5195 182
3345 1181 -487
8571 7143 12
7725 4108 48
6261 7127 -678
8575 6862 261
7563 4194 912
739 9299 48
3887 6299 898
936 3364 862
1480 7166 960
2992 8533 862
5902 2346 -709
2788 1185 -372
1024 6542 611
458 8689 507
2856 1370 -803
4511 6255 0
9094 8176 -767
5186 7666 -970
3974 9320 920
8758 1388 -246
5650 3605 -935
5955 5282 724
1485 6985 -487
861 5409 -580
6479 6718 -430
912 3142 20
7479 1768 964
1020 3518 959
8178 2247 530
6684 7677 722
3441 7890 -655
1728 4260 488
1734 2761 -504
7185 6416 -751
3379 9330 819
8337 5844 -330
7600 5477 307
7378 6809 182
8502 4265 -388
4862 7674 413
8894 4254 924
8254 3807 -634
8706 1070 -592
3455 1478 -12
2541 2367 -136
3503 158 -49
2698 1786 -655
3989 3998 350
1857 4339 988
5311 6997 -471
6118 1714 867
1934 816 554
519 8643 1
6847 2217 -477
4524 3688 323
8539 1236 781
5413 1493 -166
7735 5798 362
8703 2716 -94
3828 8223 -57
2382 2293 -606
3553 179 -708
1261 4588 -281
2797 83 -871
8662 5121 -710
6372 9352 954
4764 7184 -142
3960 3423 -844
2454 5457 -712
2554 5098 766
3162 4146 543
1927 6805 -570
3109 4275 -895
4382 4718 -72
2316 8698 293
9048 2720 -825
6419 2159 -145
6951 1863 446
3780 4135 584
409 5631 682
4469 496 169
8099 7012 578
583 6450 554
3379 4328 -858
