8255 26635
4533 4252 -311
1328 4652 825
6015 8075 67
5100 8189 -861
6594 877 344
7236 4636 -810
2771 174 -246
5726 5615 -333
4543 708 -115
8041 7809 808
3451 6410 178
5340 7904 908
4796 1601 118
4154 4059 -908
8151 1712 625
4064 1139 -595
6007 7262 -713
794 4437 321
4709 2100 713
3031 7933 287
1295 1046 -308
1415 7536 672
7169 6898 -688
5299 2292 390
6272 5486 -327
8254 7670 457
4478 3186 491
1323 4818 410
7068 6589 -926
3255 3133 568
1218 7470 803
6721 4334 302
242 3133 -901
2270 1217 -938
1899 8093 74
4924 6174 -784
2278 5981 32
3635 4495 -314
472 2813 59
4678 2722 610
142 5479 767
6668 4272 -542
4969 6622 -819
6861 7499 142
2879 684 -806
2470 7965 -417
5867 3939 524
3330 6682 -91
7645 6358 469
1367 7194 -78
6460 6527 -666
8154 7344 747
7727 474 -468
6887 7354 881
3393 1269 -306
4921 3778 253
7928 2587 -783
4840 1836 -425
1635 3605 604
7032 3027 -522
6922 5241 868
1187 2115 236
5341 7863 298
2910 4609 -235
2779 1313 498
6038 43 -879
5453 402 -129
6253 1707 -926
1557 1261 -641
4331 315 197
5599 3898 28
7638 6562 19
1804 7944 625
3668 5165 975
6862 5904 169
117 6228 978
3104 5875 -577
2352 198 406
6312 7704 -361
5770 7789 -180
5695 6140 -344
4345 7354 278
6063 2165 275
1796 2682 880
306 3498 931
1511 7047 -138
5084 2054 -566
1950 6117 896
3025 4538 333
2468 6858 -689
4570 4193 -760
7586 5240 425
4546 5543 226
4595 6153 0
3293 2835 -191
6518 8029 393
2573 583 -430
1904 5777 -154
2978 3015 468
4797 839 128
72 6232 683
682 139 -830
3814 6554 -358
61 7692 616
5307 3353 -499
7549 6022 -609
7471 573 354
7618 2466 904
4801 4948 612
1900 105 -277
4348 1639 438
7837 4307 -934
7296 6386 465
4866 694 890
6896 2598 722
1167 5292 -964
481 2298 603
8010 5695 -892
6874 4172 959
6317 2926 -779
4010 5774 779
3834 2478 255
909 7067 -898
7831 840 -689
5781 5644 392
4046 8003 391
1906 2013 -653
6412 2529 -285
971 3932 649
3682 6310 136
845 2579 -245
5202 6486 670
2421 432 902
1196 129 884
5082 3319 -963
4250 6270 -433
6744 7316 -523
3569 154 -756
2837 3130 -257
4707 7172 -785
4275 7784 634
1641 186 -572
3427 7762 -563
7358 3682 -220
4261 1319 -966
4244 5945 -353
7206 1987 -702
409 6380 -570
295 1559 -116
6169 4561 -204
6744 4054 -247
1301 1188 753
221 2791 -440
3034 4021 -753
5667 3784 717
107 4992 -843
704 7889 714
2936 4057 655
1979 1547 -739
5976 7135 407
7626 7098 630
7825 3051 155
2591 7676 -221
3366 5415 778
1296 7285 -415
1658 2581 -516
5950 4368 299
4780 6045 15
7035 6550 981
4688 6130 -487
1627 525 231
1480 5360 828
7161 2369 987
5494 6903 -772
3849 47 990
2420 1791 614
5605 2141 -422
6608 666 711
5958 8113 -770
2230 8065 -439
7261 7739 873
6005 7606 -551
253 6136 217
6142 6692 -41
5916 285 -425
3843 598 888
6541 6266 -289
2919 1381 -301
2384 7045 -932
1107 6659 -309
53 3138 -798
1493 4492 -841
1363 2249 659
1357 6579 -920
3912 5756 564
6690 6969 -257
5083 5547 726
7900 4144 579
23 7272 -135
4191 3201 554
6599 816 637
5284 508 295
5615 6689 -343
1259 7453 -714
573 7134 -894
4091 6014 -877
6882 1366 920
2588 4095 158
2939 6616 737
6959 4993 -708
376 3653 768
3699 775 364
5584 3863 -967
4779 4104 -514
4570 7331 -821
930 5887 -229
286 6225 -512
5536 1954 -359
2990 278 -802
4933 8236 -670
5707 2493 -212
4567 4327 340
6939 4309 33
3029 182 -899
2216 2600 -77
5402 5735 -215
5097 22 773
5075 3128 -571
7991 626 42
1254 5415 -127
6230 1803 675
5372 2004 -922
3487 5011 461
7033 682 -994
5190 4931 540
1032 4944 -490
1626 6709 -603
5020 5086 -407
7332 5695 289
5072 7336 -207
5965 705 775
6738 862 -855
1150 1674 -845
2483 472 509
7181 7147 -711
2967 7279 106
5814 5653 566
532 4895 -1
4150 4369 -863
3083 5635 -506
2518 4790 -707
1753 4411 455
227 5469 716
1551 3261 -158
1855 6832 -299
7984 1192 -615
3198 6232 -933
2307 2701 -133
5608 7316 -243
3435 5926 756
6188 2452 -609
873 385 -41
627 6653 -982
4243 1072 -789
982 3791 499
4863 8117 -687
2261 340 -818
4400 4361 785
6318 7775 -117
2133 1749 -48
6921 2697 -505
5960 7552 551
6282 3432 277
1728 4281 75
6134 6453 149
1811 6568 292
101 7581 -726
5636 5711 -942
6117 929 617
8196 7514 834
1755 4499 -412
6395 5395 786
3399 2152 -714
6857 5709 442
4182 2455 483
1989 1866 -693
2031 730 642
6006 6370 385
3233 8068 -585
1959 4019 961
6720 1496 460
4555 4587 -200
8244 8095 -314
5785 7581 133
3905 2232 -611
2150 1531 -986
6364 3018 -932
6786 804 346
5516 3744 -58
6509 3891 466
4513 4189 -736
7473 6083 -762
7404 2562 -688
7285 7823 252
5442 6645 698
2001 1524 -832
3810 1406 690
6275 8161 511
3122 4145 -37
2462 5599 310
5647 6897 477
5675 308 -289
578 1789 -872
2132 7544 719
1079 4620 -1
5839 627 925
3876 7316 711
1372 8247 -235
7880 352 690
862 1220 -287
4289 1611 -201
2567 5568 79
7870 5723 963
6010 2813 -904
6881 2762 362
6358 2078 -701
3113 6178 491
2503 2700 219
2015 7050 320
7520 4923 781
7098 5085 -759
2623 2190 53
2739 718 442
7056 677 -930
3259 7295 209
7432 1370 -770
3103 1850 128
59 4109 -346
4290 6605 523
7215 2210 -194
2901 2833 -511
8054 4114 70
2258 961 329
584 5797 -984
7942 4357 -864
2243 6244 -895
3391 6075 741
5866 536 -143
4530 6875 -201
5675 2976 -41
7152 3065 -547
799 5928 872
816 5107 -826
7371 552 -968
464 946 534
7888 2993 -809
6205 2368 -85
894 1139 155
1571 907 907
5765 6689 540
1580 6351 339
7423 6674 933
2072 3256 -253
4105 3581 -200
4374 5313 -357
7952 5404 537
6971 3124 -786
5333 1998 -787
1914 7920 355
6965 2560 649
5331 5987 988
3147 6499 -627
346 6644 -164
5228 5142 -865
4123 3375 -571
21 86 826
2520 1280 542
372 6342 -882
235 5648 -100
312 3091 -208
909 2590 -463
2421 2327 215
7705 5815 22
4246 3585 387
6239 4913 -592
3267 5315 -229
3606 5701 336
3644 1883 914
6665 3565 138
1826 1804 960
15 2716 759
3789 7947 -478
6823 5776 -874
3815 3439 -345
6411 8156 -407
7387 1830 -235
5314 5784 -659
4733 2245 336
5804 752 -116
4745 5374 825
560 2260 744
4685 3240 671
6968 5327 -334
5584 1164 32
5156 4984 -928
2912 8080 514
6625 1898 881
148 5832 861
2825 6 -625
634 5613 426
7482 83 -221
4649 2854 -758
2262 5734 -847
5772 4568 -995
2458 1503 785
6003 1588 986
1143 4918 991
2991 7320 4
50 4343 -555
2891 1907 -899
6625 4302 468
4394 2463 150
3356 681 21
1289 4451 -825
6443 686 504
7020 5282 218
4485 6709 -677
8176 3913 -712
7722 6258 686
4302 2808 -213
8233 1161 217
4291 6581 918
4146 3320 -23
3016 1282 -85
3914 6260 -322
4414 5997 -713
3632 6001 205
4184 4252 913
8092 282 -595
885 2762 241
3258 5335 -357
4264 814 -455
4345 1386 -705
7357 3799 -402
6469 1283 -833
6808 7355 203
1013 838 -856
7221 3399 -622
6593 5985 -340
7580 6638 -927
1957 1309 -331
1687 5264 -937
458 7784 762
7773 7363 -529
4401 1721 -818
3767 1553 -345
3875 4280 -997
7947 2335 344
2387 1618 231
5917 3668 -554
6623 5940 511
2629 3128 220
1340 1676 -829
1993 5706 -423
423 1243 -968
6892 4584 -271
5120 8250 -312
7190 2239 119
2019 249 -209
4613 5396 -84
6439 2618 -349
343 6431 168
5074 6624 -262
3113 2898 598
8061 5064 -221
770 5268 -296
350 4082 -556
5197 3930 -972
6026 6094 -908
2399 1522 -496
6620 5905 -527
7282 1536 838
5178 1385 -612
3580 5931 -550
343 6930 -193
6441 5320 -377
712 7990 -463
7173 5069 167
2758 4167 -304
6768 53 -84
2122 6600 -927
1699 4225 -772
270 2233 -734
3738 1681 -469
7742 1478 -847
3749 3198 975
3351 7189 -588
7650 2391 547
6120 3415 104
1627 2478 -823
2121 4910 200
7819 6477 942
1564 4755 -36
5337 1235 72
2198 443 -498
2092 811 -838
48 7342 -605
1779 5260 -339
2198 6416 1
5630 3558 -836
7553 894 45
4388 718 843
6720 6536 -362
3670 1382 -342
1366 3214 691
3864 8123 555
2264 5027 949
6055 997 -145
2914 962 -307
54 8170 -529
5995 4203 626
6613 6896 -884
1610 6771 699
3494 667 -170
2927 8213 925
4984 5904 -73
7250 3964 359
7801 5516 -916
2208 5469 -406
6712 6066 652
3730 7969 -988
1734 6393 51
796 296 30
1836 5731 271
6922 7640 -347
72 1593 517
597 4320 -323
5683 5211 951
5607 2502 546
7462 686 718
4631 5649 624
7700 731 -612
7088 5292 42
2043 210 343
6444 5118 -209
4863 3160 -915
1865 2385 -338
1724 2798 -541
715 6342 853
